job_link,pexels_query,bg_video_url,is_related
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,career innovation,https://videos.pexels.com/video-files/3129424/3129424-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,UI engineering,https://videos.pexels.com/video-files/853919/853919-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,hybrid workplace,https://videos.pexels.com/video-files/7682562/7682562-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,virtual collaboration,https://videos.pexels.com/video-files/8136091/8136091-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,creating UI,https://videos.pexels.com/video-files/4928879/4928879-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,web development,https://videos.pexels.com/video-files/1350205/1350205-hd_1920_1080_30fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,quality engineering,https://videos.pexels.com/video-files/4468754/4468754-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,tech mentorship,https://videos.pexels.com/video-files/3205618/3205618-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,accessibility technology,https://videos.pexels.com/video-files/5524279/5524279-hd_1920_1080_30fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,intensive training,https://videos.pexels.com/video-files/4812848/4812848-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,leadership support,https://videos.pexels.com/video-files/8145136/8145136-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,software challenges,https://videos.pexels.com/video-files/3141208/3141208-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,front-end development,https://videos.pexels.com/video-files/8480293/8480293-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,complex coding,https://videos.pexels.com/video-files/28803180/12482072_1920_1080_60fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,problem solving,https://videos.pexels.com/video-files/5198161/5198161-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,modern web frameworks,https://videos.pexels.com/video-files/4884242/4884242-hd_1920_1080_30fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,tech innovation,https://videos.pexels.com/video-files/18069166/18069166-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,smart business technology,https://videos.pexels.com/video-files/4629779/4629779-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,best workplaces,https://videos.pexels.com/video-files/7005915/7005915-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,workplace diversity,https://videos.pexels.com/video-files/7252683/7252683-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,diversity inclusion,https://videos.pexels.com/video-files/6193960/6193960-hd_1920_1080_25fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,vibrant culture,https://videos.pexels.com/video-files/12333246/12333246-hd_1920_1080_24fps.mp4,
https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN29469,excellence commitment,https://videos.pexels.com/video-files/7006071/7006071-hd_1920_1080_30fps.mp4,
